Order_ID,Order_Date,SKU,Product_Name,Category,Region,Store_Type,Units_Sold,Unit_Price,Discount,Revenue,Profit,Customer_Age,Gender,Payment_Method,image_url
101178,9/21/2024,AD-1877-D,Tiro 23 Track Pants,Apparel,Asia-Pacific,Online,5,49.68,0,248.4,70.4,35,Female,NetBanking,https://assets.adidas.com/images/w_600%2Cf_auto%2Cq_auto/d02df6c17bf34147ae3faef5011f4841_9366/Tiro_23_League_Training_Pants_Black_HS7230_01_laydown.jpg
100865,9/4/2024,AD-1745-B,Essentials Tee,Apparel,Europe,Online,2,27.07,0,54.14,11.35,48,Female,NetBanking,https://shop.simon.com/cdn/shop/files/3f84ca8be8d64d3fb9b66db4a3b02046.jpg
100101,9/24/2024,AD-8110-A,Superstar,Footwear,Asia-Pacific,Online,3,96.58,20,231.79,61.86,34,Male,Debit Card,https://footdistrict.com/cdn/shop/files/sneakers-adidas-originals-superstar-eg4958-0.jpg
100439,1/3/2024,AD-4892-C,Performance Socks (3-pack),Accessories,Latin America,Retail,5,17.49,10,78.7,35.99,30,Female,Apple Pay,https://assets.adidas.com/images/w_940%2Cf_auto%2Cq_auto/717ff966f0854fe089472eb7a83debd8_9366/JC6446_03_standard_hover.jpg
100058,10/7/2023,AD-8657-B,Originals Backpack,Accessories,Europe,Retail,3,58.96,5,168.04,68.38,30,Female,PayPal,https://assets.adidas.com/images/w_940%2Cf_auto%2Cq_auto/6e58dbe12eed418ba809246a19b2bd7d_9366/IU0178_01_00_standard.jpg
101120,10/30/2024,AD-5267-A,Adicolor Hoodie,Apparel,Europe,Online,1,72.5,5,68.88,16.65,32,Female,Apple Pay,https://assets.adidas.com/images/w_940%2Cf_auto%2Cq_auto/cb64f14e00914389b9790ba55a528715_9366/JW5965_21_model.jpg
100323,5/3/2023,AD-3735-C,Ultraboost 22,Footwear,Asia-Pacific,Online,4,182.16,0,728.64,227.81,29,Female,NetBanking,https://justfreshkicks.com/wp-content/uploads/2021/12/adidas-Ultra-Boost-2022-Triple-White-GX5459-Release-Date-Price.jpeg
100974,12/23/2023,AD-7305-C,Originals Backpack,Accessories,Middle East & Africa,Retail,3,57.19,0,171.57,52.43,49,Female,Debit Card,https://assets.adidas.com/images/w_940%2Cf_auto%2Cq_auto/6e58dbe12eed418ba809246a19b2bd7d_9366/IU0178_01_00_standard.jpg
100411,10/30/2023,AD-4842-A,Copa Sense,Footwear,Europe,Online,3,152.09,10,410.64,93.96,27,Female,Cash,https://res.cloudinary.com/dtc2q8arn/image/upload/v1727704399/Batch%204_5/GZ1370/GZ1370_1_FOOTWEAR_Photography_Side_Lateral_Center_View_grey_ooqo8x.jpg
100855,5/4/2023,AD-2386-C,Sports Bottle,Accessories,North America,Retail,1,15.26,20,12.21,3.82,33,Male,Google Pay,https://assets.adidas.com/images/w_940%2Cf_auto%2Cq_auto/dffb7992446842a98f73aa860118cfee_9366/FM9931_01_00_standard.jpg
100820,12/19/2023,AD-3148-C,Performance Socks (3-pack),Accessories,North America,Outlet,1,18.61,20,14.89,6.07,25,Male,Google Pay,https://assets.adidas.com/images/w_940%2Cf_auto%2Cq_auto/717ff966f0854fe089472eb7a83debd8_9366/JC6446_03_standard_hover.jpg
100044,6/16/2024,AD-2146-C,Sports Bottle,Accessories,Middle East & Africa,Retail,1,14.47,0,14.47,3.08,34,Male,Apple Pay,https://assets.adidas.com/images/w_940%2Cf_auto%2Cq_auto/dffb7992446842a98f73aa860118cfee_9366/FM9931_01_00_standard.jpg
